Player ID,Player ID,Season,Average Points,Average Assists,Average Blocks,Average Defensive Rebounds,Average Offensive Rebounds,Average 3PT Attempts,Average 3PT Made,Average 2PT Attempts,Average 2PT Made,Average Free Throw Attempts,Average Free Throws Made,Average Steals per Game,Average Mins per Game,Average Turn Overs per Game
147,608,1995,5.74,3.3,0.12,1.37,1.81,1.84,0.7,2.14,2.14,1.19,0.77,0.6,16:37,1.67
148,671,1995,20.49,4.38,0.53,5.36,8.43,2.26,0.83,7.2,7.2,6.96,5.27,0.68,40:25,2.25
149,697,1995,15.22,8.33,0.2,2.03,2.94,3.71,1.33,5.06,5.06,4.9,3.77,1.61,33:58,2.12
150,684,1995,13.03,3.29,0.61,4.32,6.63,0.29,0.08,5.21,5.21,3.98,2.53,0.79,31:58,2.65
151,660,1995,11.0,1.46,4.49,8.41,11.77,0.01,0.0,3.84,3.84,4.78,3.32,0.51,36:39,2.03
152,685,1995,1.94,0.24,0.0,0.59,1.29,0.0,0.0,0.82,0.82,0.47,0.29,0.18,5:24,0.65
153,706,1995,9.1,1.92,1.35,3.45,5.13,0.0,0.0,3.9,3.9,1.66,1.29,0.35,26:28,1.84
154,661,1995,3.22,0.7,0.0,0.52,0.96,0.65,0.3,1.26,1.26,0.48,0.39,0.65,12:28,0.39
155,673,1995,12.68,1.78,0.4,2.17,3.95,0.05,0.01,4.7,4.7,4.12,3.26,1.38,29:47,1.79
156,702,1995,15.83,1.88,0.85,5.28,7.57,0.09,0.02,6.4,6.4,4.11,3.02,1.08,33:11,2.92
157,735,1995,26.56,2.87,2.13,7.67,11.04,0.04,0.02,10.96,10.96,9.46,4.61,0.63,36:02,2.87
158,771,1995,23.19,2.27,2.7,7.27,10.39,0.43,0.13,8.04,8.04,10.17,6.97,1.0,38:09,3.74
159,740,1995,16.45,2.66,0.96,4.78,7.27,0.53,0.12,5.97,5.97,5.35,4.38,0.96,33:42,2.53
160,793,1995,19.56,2.87,0.27,2.89,5.0,4.06,1.48,6.94,6.94,5.1,4.21,0.57,34:23,2.33
161,752,1995,10.47,1.64,0.73,5.09,7.16,0.49,0.09,4.2,4.2,3.29,1.98,0.8,28:12,1.84
162,731,1995,16.17,3.05,1.23,6.59,8.85,1.1,0.33,6.06,6.06,4.79,3.71,1.78,36:20,3.0
163,732,1995,13.63,3.15,0.79,3.01,4.37,4.01,1.56,4.92,4.92,3.18,2.23,1.16,29:42,2.07
164,727,1995,11.67,1.35,0.65,1.95,2.84,3.82,1.27,3.78,3.78,3.63,2.84,1.03,22:52,1.38
165,736,1995,6.09,0.78,0.5,3.4,5.55,0.05,0.0,2.2,2.2,2.45,1.7,0.62,20:49,1.07
166,847,1995,23.73,5.0,0.6,5.13,7.6,2.27,1.0,10.0,10.0,4.6,2.73,1.8,37:12,3.27
167,818,1995,11.95,0.8,3.65,5.28,8.08,0.05,0.01,4.9,4.9,3.11,2.14,0.62,29:28,2.27
168,799,1995,21.71,7.1,0.5,2.74,4.32,3.45,1.09,7.6,7.6,7.07,5.43,2.02,36:46,2.79
169,826,1995,23.44,2.78,0.17,3.33,5.39,5.67,1.94,8.06,8.06,7.39,5.39,0.78,37:10,3.06
170,837,1995,19.6,2.84,0.31,2.8,4.12,3.67,1.36,7.47,7.47,3.95,3.31,0.64,34:35,2.68
171,820,1995,15.07,2.2,0.26,2.46,3.41,2.2,0.74,6.09,6.09,3.06,2.16,0.96,33:12,1.84
172,803,1995,3.06,3.0,0.04,0.88,1.04,1.06,0.31,0.9,0.9,1.18,0.94,0.39,14:42,1.19
173,810,1995,21.09,2.59,1.11,6.65,9.85,0.59,0.12,8.52,8.52,5.84,3.91,0.83,40:28,2.63
174,806,1995,11.55,2.49,0.52,2.58,4.27,2.28,0.73,4.57,4.57,2.69,1.69,1.12,29:06,2.15
175,835,1995,8.49,2.35,0.23,1.88,2.43,3.61,1.46,2.99,2.99,1.5,1.05,1.05,26:43,1.0
176,907,1995,20.24,3.57,0.51,4.49,6.15,3.21,1.1,7.65,7.65,4.74,3.85,1.16,39:37,3.44
177,908,1995,16.64,9.67,0.32,4.32,6.83,4.89,1.64,6.09,6.09,4.09,2.83,2.16,37:27,4.05
178,879,1995,20.23,6.85,0.6,8.2,9.79,0.33,0.06,7.05,7.05,8.08,6.06,1.25,40:45,3.29
179,877,1995,5.52,0.79,0.5,2.39,3.44,1.52,0.45,2.02,2.02,1.34,1.03,0.35,15:03,0.77
